DSetID,Flag,FleetCode,Year,GearGrp,GearCode,TimePeriodID,SquareTypeCode,QuadID,Lat,Lon,Eff1,Eff1Type,CatchUnits,DSetType,SKJ,
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,10,1x1,4,17,16,11.7,FISH.HOUR,kg,-w,4510,385.4700855
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,11,1x1,4,15,17,34.2,FISH.HOUR,kg,-w,1890,55.26315789
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,11,1x1,4,16,17,34.1,FISH.HOUR,kg,-w,470,13.7829912
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,12,1x1,4,13,17,0,FISH.HOUR,kg,-w,1290,#DIV/0!
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,12,1x1,4,16,18,44.5,FISH.HOUR,kg,-w,19220,431.9101124
4974,EU.España,EU.ESP-ES-ETRO,2010,PS,PS,2,1x1,2,15,8,7,FISH.HOUR,kg,-w,195300,27900
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,11,18,11.5,FISH.HOUR,kg,-w,6000,521.7391304
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,14,17,22.7,FISH.HOUR,kg,-w,11950,526.4317181
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,14,18,11.3,FISH.HOUR,kg,-w,1290,114.159292
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,15,18,33.8,FISH.HOUR,kg,-w,3620,107.1005917
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,17,16,11.2,FISH.HOUR,kg,-w,3000,267.8571429
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,17,18,67,FISH.HOUR,kg,-w,11950,178.358209
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,1,1x1,4,18,17,11.1,FISH.HOUR,kg,-w,500,45.04504505
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,2,1x1,4,10,18,11.8,FISH.HOUR,kg,-w,12000,1016.949153
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,2,1x1,4,11,19,11.7,FISH.HOUR,kg,-w,4000,341.8803419
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,3,1x1,4,13,20,12,FISH.HOUR,kg,-w,1000,83.33333333
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,4,1x1,4,6,19,12.2,FISH.HOUR,kg,-w,10500,860.6557377
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,4,1x1,4,13,18,12.4,FISH.HOUR,kg,-w,500,40.32258065
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,4,1x1,4,13,19,12.4,FISH.HOUR,kg,-w,4000,322.5806452
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,4,1x1,4,14,19,149,FISH.HOUR,kg,-w,21730,145.8389262
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,4,1x1,4,16,20,12.5,FISH.HOUR,kg,-w,2000,160
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,5,1x1,4,13,18,38.1,FISH.HOUR,kg,-w,10500,275.5905512
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,5,1x1,4,13,19,177.9,FISH.HOUR,kg,-w,41130,231.1973019
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,5,1x1,4,14,17,25.5,FISH.HOUR,kg,-w,1350,52.94117647
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,5,1x1,4,15,19,115.3,FISH.HOUR,kg,-w,80630,699.3061578
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,6,1x1,4,13,19,12.9,FISH.HOUR,kg,-w,1000,77.51937984
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,6,1x1,4,14,18,64.7,FISH.HOUR,kg,-w,1500,23.18392581
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,6,1x1,4,17,16,26.2,FISH.HOUR,kg,-w,860,32.82442748
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,7,1x1,4,15,17,12.9,FISH.HOUR,kg,-w,9380,727.1317829
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,9,1x1,4,15,17,36.6,FISH.HOUR,kg,-w,55760,1523.497268
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,9,1x1,4,16,17,12.2,FISH.HOUR,kg,-w,4810,394.2622951
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,9,1x1,4,17,16,24.4,FISH.HOUR,kg,-w,8730,357.7868852
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,10,1x1,4,19,18,35,FISH.HOUR,kg,-w,21130,603.7142857
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,11,1x1,4,17,16,11.3,FISH.HOUR,kg,-w,90,7.96460177
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,11,1x1,4,18,18,56.3,FISH.HOUR,kg,-w,12130,215.4529307
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,12,1x1,4,13,17,34,FISH.HOUR,kg,-w,1760,51.76470588
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,12,1x1,4,14,17,90,FISH.HOUR,kg,-w,19050,211.6666667
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,12,1x1,4,14,18,123.8,FISH.HOUR,kg,-w,30980,250.2423263
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,12,1x1,4,15,18,44.8,FISH.HOUR,kg,-w,49040,1094.642857
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,12,1x1,4,17,17,66.4,FISH.HOUR,kg,-w,36900,555.7228916
5262,EU.España,EU.ESP-ES-ETRO,2011,BB,BB,12,1x1,4,18,17,164.9,FISH.HOUR,kg,-w,98980,600.2425713
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,1,1x1,4,13,18,56.9,FISH.HOUR,kg,-w,21300,374.340949
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,1,1x1,4,14,18,11.3,FISH.HOUR,kg,-w,1290,114.159292
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,2,1x1,4,10,18,94.2,FISH.HOUR,kg,-w,23040,244.5859873
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,2,1x1,4,10,19,11.8,FISH.HOUR,kg,-w,6310,534.7457627
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,2,1x1,4,11,19,58.7,FISH.HOUR,kg,-w,24110,410.7325383
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,11,19,108.2,FISH.HOUR,kg,-w,41450,383.0868762
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,11,20,36.1,FISH.HOUR,kg,-w,3590,99.44598338
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,12,19,48.1,FISH.HOUR,kg,-w,1700,35.34303534
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,12,20,72.1,FISH.HOUR,kg,-w,4720,65.46463245
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,13,18,276.3,FISH.HOUR,kg,-w,137230,496.6702859
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,13,19,48,FISH.HOUR,kg,-w,230,4.791666667
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,3,1x1,4,14,19,36,FISH.HOUR,kg,-w,24390,677.5
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,4,1x1,4,11,19,12.3,FISH.HOUR,kg,-w,7790,633.3333333
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,4,1x1,4,13,19,247.9,FISH.HOUR,kg,-w,132840,535.8612344
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,4,1x1,4,14,18,24.8,FISH.HOUR,kg,-w,15740,634.6774194
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,4,1x1,4,14,19,37.3,FISH.HOUR,kg,-w,10010,268.3646113
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,5,1x1,4,13,18,76.3,FISH.HOUR,kg,-w,95180,1247.444299
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,5,1x1,4,13,19,50.8,FISH.HOUR,kg,-w,36360,715.7480315
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,5,1x1,4,15,18,25.6,FISH.HOUR,kg,-w,4190,163.671875
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,7,1x1,4,16,17,38.9,FISH.HOUR,kg,-w,51290,1318.508997
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,8,1x1,4,16,17,25.3,FISH.HOUR,kg,-w,27800,1098.814229
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,8,1x1,4,17,17,38,FISH.HOUR,kg,-w,38730,1019.210526
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,8,1x1,4,18,18,12.7,FISH.HOUR,kg,-w,270,21.25984252
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,8,1x1,4,19,18,89.3,FISH.HOUR,kg,-w,97260,1089.137738
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,16,17,61,FISH.HOUR,kg,-w,28610,469.0163934
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,17,17,134.2,FISH.HOUR,kg,-w,67810,505.290611
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,17,18,48.8,FISH.HOUR,kg,-w,36240,742.6229508
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,18,20,12.2,FISH.HOUR,kg,-w,22680,1859.016393
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,19,18,146.7,FISH.HOUR,kg,-w,129740,884.3899114
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,19,20,36.7,FISH.HOUR,kg,-w,2220,60.49046322
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,21,21,12.2,FISH.HOUR,kg,-w,3060,250.8196721
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,9,1x1,4,25,20,12.3,FISH.HOUR,kg,-w,28920,2351.219512
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,10,17,11.9,FISH.HOUR,kg,-w,8470,711.7647059
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,14,18,141.5,FISH.HOUR,kg,-w,76050,537.4558304
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,16,17,434.5,FISH.HOUR,kg,-w,128890,296.6398159
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,16,18,23.5,FISH.HOUR,kg,-w,8330,354.4680851
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,17,17,328.2,FISH.HOUR,kg,-w,252160,768.3120049
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,17,18,93.8,FISH.HOUR,kg,-w,72180,769.5095949
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,18,17,128.7,FISH.HOUR,kg,-w,55830,433.7995338
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,18,18,35.1,FISH.HOUR,kg,-w,10680,304.2735043
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,19,18,58.4,FISH.HOUR,kg,-w,109190,1869.691781
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,19,19,58.4,FISH.HOUR,kg,-w,97930,1676.883562
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,19,20,11.7,FISH.HOUR,kg,-w,510,43.58974359
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,20,18,23.3,FISH.HOUR,kg,-w,12530,537.7682403
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,10,1x1,4,20,20,11.7,FISH.HOUR,kg,-w,1020,87.17948718
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,13,17,11.5,FISH.HOUR,kg,-w,1020,88.69565217
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,14,18,11.4,FISH.HOUR,kg,-w,4180,366.6666667
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,15,17,182.4,FISH.HOUR,kg,-w,125430,687.6644737
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,15,18,11.4,FISH.HOUR,kg,-w,4840,424.5614035
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,16,17,465.4,FISH.HOUR,kg,-w,498430,1070.971208
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,16,18,45.4,FISH.HOUR,kg,-w,10520,231.7180617
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,17,18,56.5,FISH.HOUR,kg,-w,58380,1033.274336
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,18,17,56.3,FISH.HOUR,kg,-w,37110,659.1474245
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,18,18,236.3,FISH.HOUR,kg,-w,173360,733.6436733
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,11,1x1,4,18,20,11.3,FISH.HOUR,kg,-w,9340,826.5486726
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,14,17,33.8,FISH.HOUR,kg,-w,920,27.21893491
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,14,18,11.3,FISH.HOUR,kg,-w,2770,245.1327434
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,15,17,67.1,FISH.HOUR,kg,-w,10680,159.1654247
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,15,19,11.2,FISH.HOUR,kg,-w,2770,247.3214286
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,16,17,100.1,FISH.HOUR,kg,-w,24490,244.6553447
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,16,20,33.4,FISH.HOUR,kg,-w,49870,1493.113772
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,17,17,177,FISH.HOUR,kg,-w,44500,251.4124294
5479,EU.España,EU.ESP-ES-ETRO,2012,BB,BB,12,1x1,4,18,18,406.9,FISH.HOUR,kg,-w,599550,1473.457852
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,14,18,192.7,FISH.HOUR,kg,-w,14920,77.42605086
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,15,18,191.8,FISH.HOUR,kg,-w,78410,408.8112617
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,17,17,33.5,FISH.HOUR,kg,-w,7540,225.0746269
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,17,18,156.4,FISH.HOUR,kg,-w,148400,948.8491049
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,17,19,22.3,FISH.HOUR,kg,-w,12990,582.5112108
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,18,17,11.1,FISH.HOUR,kg,-w,1120,100.9009009
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,1,1x1,4,19,19,11.1,FISH.HOUR,kg,-w,3200,288.2882883
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,5,1x1,4,13,17,114.4,FISH.HOUR,kg,-w,103050,900.7867133
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,5,1x1,4,13,18,50.8,FISH.HOUR,kg,-w,2080,40.94488189
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,5,1x1,4,15,18,25.6,FISH.HOUR,kg,-w,1780,69.53125
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,13,17,38.6,FISH.HOUR,kg,-w,26670,690.9326425
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,13,18,12.9,FISH.HOUR,kg,-w,6890,534.1085271
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,15,18,429.1,FISH.HOUR,kg,-w,289920,675.6467024
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,15,19,13,FISH.HOUR,kg,-w,1970,151.5384615
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,16,16,26.1,FISH.HOUR,kg,-w,1640,62.83524904
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,16,17,156.7,FISH.HOUR,kg,-w,84720,540.6509253
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,16,18,104.5,FISH.HOUR,kg,-w,208200,1992.344498
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,16,19,26.1,FISH.HOUR,kg,-w,22130,847.8927203
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,16,21,13.1,FISH.HOUR,kg,-w,9960,760.3053435
5855,EU.España,EU.ESP-ES-ETRO,2013,BB,BB,6,1x1,4,17,21,105,FISH.HOUR,kg,-w,93660,892
